,survived,pclass,age,sibsp,parch,fare,alone,sex_male,embarked_Q,embarked_S
679,1,1,36.0,0,1,512.3292,False,1.0,0.0,0.0
401,0,3,26.0,0,0,8.05,True,1.0,0.0,1.0
639,0,3,28.0,1,0,16.1,False,1.0,0.0,1.0
701,1,1,35.0,0,0,26.2875,True,1.0,0.0,1.0
106,1,3,21.0,0,0,7.65,True,0.0,0.0,1.0
447,1,1,34.0,0,0,26.55,True,1.0,0.0,1.0
578,0,3,28.0,1,0,14.4583,False,0.0,0.0,0.0
472,1,2,33.0,1,2,27.75,False,0.0,0.0,1.0
764,0,3,16.0,0,0,7.775,True,1.0,0.0,1.0
397,0,2,46.0,0,0,26.0,True,1.0,0.0,1.0
690,1,1,31.0,1,0,57.0,False,1.0,0.0,1.0
38,0,3,18.0,2,0,18.0,False,0.0,0.0,1.0
375,1,1,28.0,1,0,82.1708,False,0.0,0.0,0.0
752,0,3,33.0,0,0,9.5,True,1.0,0.0,1.0
625,0,1,61.0,0,0,32.3208,True,1.0,0.0,1.0
864,0,2,24.0,0,0,13.0,True,1.0,0.0,1.0
275,1,1,63.0,1,0,77.9583,False,0.0,0.0,1.0
773,0,3,28.0,0,0,7.225,True,1.0,0.0,0.0
593,0,3,28.0,0,2,7.75,False,0.0,1.0,0.0
504,1,1,16.0,0,0,86.5,True,0.0,0.0,1.0
239,0,2,33.0,0,0,12.275,True,1.0,0.0,1.0
153,0,3,40.5,0,2,14.5,False,1.0,0.0,1.0
614,0,3,35.0,0,0,8.05,True,1.0,0.0,1.0
442,0,3,25.0,1,0,7.775,False,1.0,0.0,1.0
180,0,3,28.0,8,2,69.55,False,0.0,0.0,1.0
634,0,3,9.0,3,2,27.9,False,0.0,0.0,1.0
386,0,3,1.0,5,2,46.9,False,1.0,0.0,1.0
244,0,3,30.0,0,0,7.225,True,1.0,0.0,0.0
749,0,3,31.0,0,0,7.75,True,1.0,1.0,0.0
162,0,3,26.0,0,0,7.775,True,1.0,0.0,1.0
501,0,3,21.0,0,0,7.75,True,0.0,1.0,0.0
92,0,1,46.0,1,0,61.175,False,1.0,0.0,1.0
714,0,2,52.0,0,0,13.0,True,1.0,0.0,1.0
431,1,3,28.0,1,0,16.1,False,0.0,0.0,1.0
452,0,1,30.0,0,0,27.75,True,1.0,0.0,0.0
853,1,1,16.0,0,1,39.4,False,0.0,0.0,1.0
55,1,1,28.0,0,0,35.5,True,1.0,0.0,1.0
351,0,1,28.0,0,0,35.0,True,1.0,0.0,1.0
570,1,2,62.0,0,0,10.5,True,1.0,0.0,1.0
29,0,3,28.0,0,0,7.8958,True,1.0,0.0,1.0
62,0,1,45.0,1,0,83.475,False,1.0,0.0,1.0
596,1,2,28.0,0,0,33.0,True,0.0,0.0,1.0
458,1,2,50.0,0,0,10.5,True,0.0,0.0,1.0
459,0,3,28.0,0,0,7.75,True,1.0,1.0,0.0
4,0,3,35.0,0,0,8.05,True,1.0,0.0,1.0
271,1,3,25.0,0,0,0.0,True,1.0,0.0,1.0
252,0,1,62.0,0,0,26.55,True,1.0,0.0,1.0
341,1,1,24.0,3,2,263.0,False,0.0,0.0,1.0
82,1,3,28.0,0,0,7.7875,True,0.0,1.0,0.0
9,1,2,14.0,1,0,30.0708,False,0.0,0.0,0.0
810,0,3,26.0,0,0,7.8875,True,1.0,0.0,1.0
23,1,1,28.0,0,0,35.5,True,1.0,0.0,1.0
841,0,2,16.0,0,0,10.5,True,1.0,0.0,1.0
410,0,3,28.0,0,0,7.8958,True,1.0,0.0,1.0
566,0,3,19.0,0,0,7.8958,True,1.0,0.0,1.0
245,0,1,44.0,2,0,90.0,False,1.0,1.0,0.0
560,0,3,28.0,0,0,7.75,True,1.0,1.0,0.0
324,0,3,28.0,8,2,69.55,False,1.0,0.0,1.0
146,1,3,27.0,0,0,7.7958,True,1.0,0.0,1.0
659,0,1,58.0,0,2,113.275,False,1.0,0.0,0.0
571,1,1,53.0,2,0,51.4792,False,0.0,0.0,1.0
196,0,3,28.0,0,0,7.75,True,1.0,1.0,0.0
16,0,3,2.0,4,1,29.125,False,1.0,1.0,0.0
138,0,3,16.0,0,0,9.2167,True,1.0,0.0,1.0
743,0,3,24.0,1,0,16.1,False,1.0,0.0,1.0
555,0,1,62.0,0,0,26.55,True,1.0,0.0,1.0
105,0,3,28.0,0,0,7.8958,True,1.0,0.0,1.0
726,1,2,30.0,3,0,21.0,False,0.0,0.0,1.0
603,0,3,44.0,0,0,8.05,True,1.0,0.0,1.0
541,0,3,9.0,4,2,31.275,False,0.0,0.0,1.0
775,0,3,18.0,0,0,7.75,True,1.0,0.0,1.0
824,0,3,2.0,4,1,39.6875,False,1.0,0.0,1.0
336,0,1,29.0,1,0,66.6,False,1.0,0.0,1.0
799,0,3,30.0,1,1,24.15,False,0.0,0.0,1.0
676,0,3,24.5,0,0,8.05,True,1.0,0.0,1.0
607,1,1,27.0,0,0,30.5,True,1.0,0.0,1.0
826,0,3,28.0,0,0,56.4958,True,1.0,0.0,1.0
756,0,3,28.0,0,0,7.7958,True,1.0,0.0,1.0
186,1,3,28.0,1,0,15.5,False,0.0,1.0,0.0
411,0,3,28.0,0,0,6.8583,True,1.0,1.0,0.0
549,1,2,8.0,1,1,36.75,False,1.0,0.0,1.0
441,0,3,20.0,0,0,9.5,True,1.0,0.0,1.0
435,1,1,14.0,1,2,120.0,False,0.0,0.0,1.0
790,0,3,28.0,0,0,7.75,True,1.0,1.0,0.0
198,1,3,28.0,0,0,7.75,True,0.0,1.0,0.0
444,1,3,28.0,0,0,8.1125,True,1.0,0.0,1.0
671,0,1,31.0,1,0,52.0,False,1.0,0.0,1.0
296,0,3,23.5,0,0,7.2292,True,1.0,0.0,0.0
802,1,1,11.0,1,2,120.0,False,1.0,0.0,1.0
137,0,1,37.0,1,0,53.1,False,1.0,0.0,1.0
532,0,3,17.0,1,1,7.2292,False,1.0,0.0,0.0
587,1,1,60.0,1,1,79.2,False,1.0,0.0,0.0
878,0,3,28.0,0,0,7.8958,True,1.0,0.0,1.0
728,0,2,25.0,1,0,26.0,False,1.0,0.0,1.0
389,1,2,17.0,0,0,12.0,True,0.0,0.0,0.0
427,1,2,19.0,0,0,26.0,True,0.0,0.0,1.0
804,1,3,27.0,0,0,6.975,True,1.0,0.0,1.0
731,0,3,11.0,0,0,18.7875,True,1.0,0.0,0.0
88,1,1,23.0,3,2,263.0,False,0.0,0.0,1.0
39,1,3,14.0,1,0,11.2417,False,0.0,0.0,0.0
492,0,1,55.0,0,0,30.5,True,1.0,0.0,1.0
823,1,3,27.0,0,1,12.475,False,0.0,0.0,1.0
886,0,2,27.0,0,0,13.0,True,1.0,0.0,1.0
353,0,3,25.0,1,0,17.8,False,1.0,0.0,1.0
685,0,2,25.0,1,2,41.5792,False,1.0,0.0,0.0
11,1,1,58.0,0,0,26.55,True,0.0,0.0,1.0
484,1,1,25.0,1,0,91.0792,False,1.0,0.0,0.0
366,1,1,60.0,1,0,75.25,False,0.0,0.0,0.0
300,1,3,28.0,0,0,7.75,True,0.0,1.0,0.0
879,1,1,56.0,0,1,83.1583,False,0.0,0.0,0.0
530,1,2,2.0,1,1,26.0,False,0.0,0.0,1.0
293,0,3,24.0,0,0,8.85,True,0.0,0.0,1.0
814,0,3,30.5,0,0,8.05,True,1.0,0.0,1.0
515,0,1,47.0,0,0,34.0208,True,1.0,0.0,1.0
199,0,2,24.0,0,0,13.0,True,0.0,0.0,1.0
142,1,3,24.0,1,0,15.85,False,0.0,0.0,1.0
349,0,3,42.0,0,0,8.6625,True,1.0,0.0,1.0
354,0,3,28.0,0,0,7.225,True,1.0,0.0,0.0
295,0,1,28.0,0,0,27.7208,True,1.0,0.0,0.0
143,0,3,19.0,0,0,6.75,True,1.0,1.0,0.0
880,1,2,25.0,0,1,26.0,False,0.0,0.0,1.0
91,0,3,20.0,0,0,7.8542,True,1.0,0.0,1.0
883,0,2,28.0,0,0,10.5,True,1.0,0.0,1.0
473,1,2,23.0,0,0,13.7917,True,0.0,0.0,0.0
637,0,2,31.0,1,1,26.25,False,1.0,0.0,1.0
